,proportion,Net_export_saved,Emissions_tnco2
0,0.01,-5093.698424666052,-765.5286090766496
1,0.06,-5110.021442594537,-769.6732600313384
2,0.11,-5126.321505919857,-773.8167855441694
3,0.16,-5142.448410102274,-777.9169397298894
4,0.21,-5158.669888816473,-782.0428376013388
5,0.26,-5174.859205603554,-786.1612716821382
6,0.31,-5190.879122740974,-790.2417712007383
7,0.36,-5206.990676586659,-794.3482624893497
8,0.41,-5223.05963699178,-798.4448048044633
9,0.46,-5239.085239959316,-802.5269845523768
10,0.51,-5254.932806679703,-806.5679906250158
11,0.56,-5270.872307185729,-810.6541450241862
12,0.61,-5286.798333434859,-814.7355345245337
13,0.66,-5302.561214751139,-818.778167139406
14,0.71,-5318.4184557089775,-822.8448949062546
15,0.76,-5334.236992991134,-826.9043198643691
16,0.81,-5349.901018409803,-830.9267095051536
17,0.86,-5365.653166866945,-834.9722073702894
18,0.91,-5381.374773402623,-839.0112269063128
19,0.96,-5397.073606844949,-843.0428157277963
